T_K,mean_abs_eta_A,sem_blocks_A,mean_signed_eta_A,saved_frames,used_frames
100,1.297445,0.001297,1.297445,1001,501
200,1.051682,0.027699,1.051682,1001,501
250,0.503520,0.033329,0.503520,1001,501
275,0.152826,0.027201,0.149985,1001,501
300,0.101066,0.020201,-0.056382,1001,501
325,0.095380,0.021689,0.011067,1001,501
350,0.153145,0.014751,0.007904,1001,501
375,0.143240,0.030916,-0.069912,1001,501
400,0.112440,0.013358,0.076628,1001,501
500,0.100990,0.009471,0.008420,1001,501
600,0.127155,0.009704,0.045877,1001,501
