time_ps,eta_A,abs_eta_A,running_mean_A,running_abs_mean_A
0.000000,1.44764343,1.44764343,1.44764343,1.44764343
0.040000,1.38329107,1.38329107,1.41546725,1.41546725
0.080000,1.30638396,1.30638396,1.37910615,1.37910615
0.120000,1.22865587,1.22865587,1.34149358,1.34149358
0.160000,1.16925254,1.16925254,1.30704537,1.30704537
0.200000,1.16115033,1.16115033,1.28272953,1.28272953
0.240000,1.15389983,1.15389983,1.26432529,1.26432529
0.280000,1.15019182,1.15019182,1.25005861,1.25005861
0.320000,1.16130866,1.16130866,1.24019750,1.24019750
0.360000,1.17272380,1.17272380,1.23345013,1.23345013
0.400000,1.17013492,1.17013492,1.22769420,1.22769420
0.440000,1.16822446,1.16822446,1.22273839,1.22273839
0.480000,1.17514813,1.17514813,1.21907760,1.21907760
0.520000,1.18053744,1.18053744,1.21632473,1.21632473
0.560000,1.18299946,1.18299946,1.21410305,1.21410305
0.600000,1.16656623,1.16656623,1.21113200,1.21113200
0.640000,1.14418679,1.14418679,1.20719404,1.20719404
0.680000,1.13928242,1.13928242,1.20342118,1.20342118
0.720000,1.14871277,1.14871277,1.20054179,1.20054179
0.760000,1.18277394,1.18277394,1.19965339,1.19965339
0.800000,1.22645852,1.22645852,1.20092983,1.20092983
0.840000,1.24015228,1.24015228,1.20271267,1.20271267
0.880000,1.22482519,1.22482519,1.20367408,1.20367408
0.920000,1.22217021,1.22217021,1.20444475,1.20444475
0.960000,1.19134991,1.19134991,1.20392096,1.20392096
1.000000,1.15568418,1.15568418,1.20206570,1.20206570
1.040000,1.13544039,1.13544039,1.19959809,1.19959809
1.080000,1.11915213,1.11915213,1.19672502,1.19672502
1.120000,1.09415959,1.09415959,1.19318829,1.19318829
1.160000,1.08498321,1.08498321,1.18958145,1.18958145
1.200000,1.07657140,1.07657140,1.18593596,1.18593596
1.240000,1.08094150,1.08094150,1.18265489,1.18265489
1.280000,1.08881743,1.08881743,1.17981133,1.17981133
1.320000,1.08726664,1.08726664,1.17708942,1.17708942
1.360000,1.09665309,1.09665309,1.17479124,1.17479124
1.400000,1.10939024,1.10939024,1.17297455,1.17297455
1.440000,1.10810594,1.10810594,1.17122134,1.17122134
1.480000,1.07571949,1.07571949,1.16870814,1.16870814
1.520000,1.04898180,1.04898180,1.16563823,1.16563823
1.560000,1.03668796,1.03668796,1.16241447,1.16241447
1.600000,1.03415973,1.03415973,1.15928631,1.15928631
1.640000,1.03046190,1.03046190,1.15621906,1.15621906
1.680000,1.02162857,1.02162857,1.15308905,1.15308905
1.720000,1.02592767,1.02592767,1.15019902,1.15019902
1.760000,1.04139094,1.04139094,1.14778106,1.14778106
1.800000,1.05651670,1.05651670,1.14579705,1.14579705
1.840000,1.07101437,1.07101437,1.14420593,1.14420593
1.880000,1.06665640,1.06665640,1.14259032,1.14259032
1.920000,1.06944313,1.06944313,1.14109752,1.14109752
1.960000,1.05070345,1.05070345,1.13928964,1.13928964
2.000000,1.02905118,1.02905118,1.13712810,1.13712810
2.040000,1.02977927,1.02977927,1.13506370,1.13506370
2.080000,1.02888115,1.02888115,1.13306025,1.13306025
2.120000,1.01160363,1.01160363,1.13081106,1.13081106
2.160000,1.00051459,1.00051459,1.12844203,1.12844203
2.200000,1.00147887,1.00147887,1.12617483,1.12617483
