time_ps,eta_A,abs_eta_A,running_mean_A,running_abs_mean_A
0.000000,1.44764343,1.44764343,1.44764343,1.44764343
0.040000,1.43327617,1.43327617,1.44045980,1.44045980
0.080000,1.38438134,1.38438134,1.42176698,1.42176698
0.120000,1.34442007,1.34442007,1.40243025,1.40243025
0.160000,1.31389008,1.31389008,1.38472222,1.38472222
0.200000,1.30127427,1.30127427,1.37081423,1.37081423
0.240000,1.27431610,1.27431610,1.35702878,1.35702878
0.280000,1.24428693,1.24428693,1.34293605,1.34293605
0.320000,1.22210089,1.22210089,1.32950992,1.32950992
0.360000,1.20997456,1.20997456,1.31755638,1.31755638
0.400000,1.19667426,1.19667426,1.30656710,1.30656710
0.440000,1.18798463,1.18798463,1.29668523,1.29668523
0.480000,1.18503231,1.18503231,1.28809654,1.28809654
0.520000,1.19040675,1.19040675,1.28111870,1.28111870
0.560000,1.20409518,1.20409518,1.27598380,1.27598380
0.600000,1.22256651,1.22256651,1.27264522,1.27264522
0.640000,1.26414335,1.26414335,1.27214511,1.27214511
0.680000,1.28996007,1.28996007,1.27313483,1.27313483
0.720000,1.30110960,1.30110960,1.27460718,1.27460718
0.760000,1.29855056,1.29855056,1.27580435,1.27580435
0.800000,1.28079795,1.28079795,1.27604214,1.27604214
0.840000,1.25101357,1.25101357,1.27490448,1.27490448
0.880000,1.24014511,1.24014511,1.27339320,1.27339320
0.920000,1.21937916,1.21937916,1.27114262,1.27114262
0.960000,1.19976586,1.19976586,1.26828755,1.26828755
1.000000,1.17408708,1.17408708,1.26466445,1.26466445
1.040000,1.17118226,1.17118226,1.26120215,1.26120215
1.080000,1.17035981,1.17035981,1.25795778,1.25795778
1.120000,1.16875748,1.16875748,1.25488191,1.25488191
1.160000,1.15756300,1.15756300,1.25163794,1.25163794
1.200000,1.15498462,1.15498462,1.24852010,1.24852010
1.240000,1.12374309,1.12374309,1.24462081,1.24462081
1.280000,1.10126544,1.10126544,1.24027671,1.24027671
1.320000,1.08592224,1.08592224,1.23573687,1.23573687
1.360000,1.09205783,1.09205783,1.23163176,1.23163176
1.400000,1.10629322,1.10629322,1.22815013,1.22815013
1.440000,1.13492813,1.13492813,1.22563062,1.22563062
1.480000,1.15787937,1.15787937,1.22384769,1.22384769
1.520000,1.15177543,1.15177543,1.22199968,1.22199968
1.560000,1.11377109,1.11377109,1.21929397,1.21929397
1.600000,1.09379023,1.09379023,1.21623290,1.21623290
1.640000,1.07957241,1.07957241,1.21297908,1.21297908
1.680000,1.06871316,1.06871316,1.20962406,1.20962406
1.720000,1.07494115,1.07494115,1.20656308,1.20656308
1.760000,1.07425845,1.07425845,1.20362298,1.20362298
1.800000,1.07101718,1.07101718,1.20074025,1.20074025
1.840000,1.07319101,1.07319101,1.19802643,1.19802643
1.880000,1.08792691,1.08792691,1.19573269,1.19573269
1.920000,1.08074931,1.08074931,1.19338609,1.19338609
1.960000,1.07887204,1.07887204,1.19109581,1.19109581
2.000000,1.07136033,1.07136033,1.18874806,1.18874806
2.040000,1.05657862,1.05657862,1.18620634,1.18620634
2.080000,1.06387761,1.06387761,1.18389825,1.18389825
2.120000,1.05644101,1.05644101,1.18153793,1.18153793
2.160000,1.06303004,1.06303004,1.17938324,1.17938324
2.200000,1.07902281,1.07902281,1.17759109,1.17759109
2.240000,1.08734394,1.08734394,1.17600781,1.17600781
2.280000,1.08263579,1.08263579,1.17439794,1.17439794
2.320000,1.09495323,1.09495323,1.17305142,1.17305142
2.360000,1.11674412,1.11674412,1.17211297,1.17211297
2.400000,1.11354958,1.11354958,1.17115291,1.17115291
2.440000,1.11312457,1.11312457,1.17021697,1.17021697
2.480000,1.13245442,1.13245442,1.16961757,1.16961757
2.520000,1.14511344,1.14511344,1.16923469,1.16923469
2.560000,1.16182274,1.16182274,1.16912066,1.16912066
2.600000,1.18418909,1.18418909,1.16934897,1.16934897
2.640000,1.20303495,1.20303495,1.16985174,1.16985174
2.680000,1.22777073,1.22777073,1.17070349,1.17070349
2.720000,1.23382250,1.23382250,1.17161826,1.17161826
2.760000,1.24185015,1.24185015,1.17262158,1.17262158
2.800000,1.25599553,1.25599553,1.17379586,1.17379586
2.840000,1.23941039,1.23941039,1.17470717,1.17470717
2.880000,1.21302759,1.21302759,1.17523211,1.17523211
2.920000,1.17094659,1.17094659,1.17517419,1.17517419
2.960000,1.14258521,1.14258521,1.17473967,1.17473967
3.000000,1.13172882,1.13172882,1.17417374,1.17417374
3.040000,1.13993231,1.13993231,1.17372905,1.17372905
3.080000,1.14356366,1.14356366,1.17334231,1.17334231
3.120000,1.14929347,1.14929347,1.17303790,1.17303790
3.160000,1.14244606,1.14244606,1.17265550,1.17265550
3.200000,1.14258348,1.14258348,1.17228424,1.17228424
3.240000,1.15687029,1.15687029,1.17209626,1.17209626
3.280000,1.15748640,1.15748640,1.17192024,1.17192024
3.320000,1.17184280,1.17184280,1.17191932,1.17191932
3.360000,1.15519858,1.15519858,1.17172261,1.17172261
3.400000,1.14516106,1.14516106,1.17141375,1.17141375
3.440000,1.15815360,1.15815360,1.17126133,1.17126133
3.480000,1.15399146,1.15399146,1.17106509,1.17106509
3.520000,1.15694950,1.15694950,1.17090648,1.17090648
3.560000,1.17738232,1.17738232,1.17097844,1.17097844
3.600000,1.19788386,1.19788386,1.17127410,1.17127410
3.640000,1.21828453,1.21828453,1.17178508,1.17178508
3.680000,1.24078653,1.24078653,1.17252704,1.17252704
3.720000,1.22771074,1.22771074,1.17311410,1.17311410
3.760000,1.20729434,1.20729434,1.17347389,1.17347389
3.800000,1.18276310,1.18276310,1.17357065,1.17357065
3.840000,1.14773579,1.14773579,1.17330431,1.17330431
3.880000,1.15056433,1.15056433,1.17307227,1.17307227
3.920000,1.16286540,1.16286540,1.17296917,1.17296917
3.960000,1.16092625,1.16092625,1.17284874,1.17284874
4.000000,1.17393399,1.17393399,1.17285949,1.17285949
4.040000,1.15315924,1.15315924,1.17266635,1.17266635
4.080000,1.14515425,1.14515425,1.17239924,1.17239924
4.120000,1.13909461,1.13909461,1.17207900,1.17207900
4.160000,1.14110579,1.14110579,1.17178402,1.17178402
4.200000,1.13372137,1.13372137,1.17142494,1.17142494
4.240000,1.13553024,1.13553024,1.17108947,1.17108947
4.280000,1.11637205,1.11637205,1.17058283,1.17058283
4.320000,1.11218734,1.11218734,1.17004709,1.17004709
4.360000,1.13492246,1.13492246,1.16972778,1.16972778
4.400000,1.12852670,1.12852670,1.16935660,1.16935660
4.440000,1.12749020,1.12749020,1.16898279,1.16898279
4.480000,1.13793370,1.13793370,1.16870802,1.16870802
4.520000,1.12839831,1.12839831,1.16835443,1.16835443
4.560000,1.10407911,1.10407911,1.16779551,1.16779551
4.600000,1.08891219,1.08891219,1.16711548,1.16711548
4.640000,1.08924764,1.08924764,1.16644994,1.16644994
4.680000,1.08608379,1.08608379,1.16576888,1.16576888
4.720000,1.07648738,1.07648738,1.16501861,1.16501861
4.760000,1.04289444,1.04289444,1.16400091,1.16400091
4.800000,1.03261775,1.03261775,1.16291510,1.16291510
4.840000,1.02083554,1.02083554,1.16175051,1.16175051
4.880000,1.01634860,1.01634860,1.16056838,1.16056838
4.920000,1.04739799,1.04739799,1.15965572,1.15965572
4.960000,1.06502582,1.06502582,1.15889868,1.15889868
5.000000,1.09001675,1.09001675,1.15835200,1.15835200
5.040000,1.11424131,1.11424131,1.15800467,1.15800467
5.080000,1.10599355,1.10599355,1.15759833,1.15759833
5.120000,1.09791441,1.09791441,1.15713567,1.15713567
5.160000,1.09515683,1.09515683,1.15665891,1.15665891
5.200000,1.06645723,1.06645723,1.15597034,1.15597034
5.240000,1.05963138,1.05963138,1.15524050,1.15524050
5.280000,1.03952306,1.03952306,1.15437045,1.15437045
5.320000,1.03466666,1.03466666,1.15347713,1.15347713
5.360000,1.02660401,1.02660401,1.15253733,1.15253733
5.400000,1.02239475,1.02239475,1.15158040,1.15158040
5.440000,1.01189084,1.01189084,1.15056077,1.15056077
