temperature_K,source,total_time_ps,saved_frames,used_frames,mean_eta_A,mean_abs_eta_A,sem_abs_eta_A,sign_changes_eq,drift_abs_eta_A
100,coarse_60ps,60.00,1501,751,1.254077,1.254077,0.001438,0,0.000975
150,coarse_60ps,60.00,1501,751,1.244562,1.244562,0.004125,0,0.001191
200,coarse_60ps,60.00,1501,751,1.139428,1.139428,0.015559,0,-0.051437
250,coarse_60ps,60.00,1501,751,0.953123,0.953123,0.033047,0,-0.093220
275,refined_100ps,100.00,2501,1251,-0.198366,0.200339,0.026283,10,-0.088217
300,refined_100ps,100.00,2501,1251,0.055884,0.156477,0.029070,33,-0.067846
325,refined_100ps,100.00,2501,1251,0.020825,0.122752,0.019974,35,-0.057013
350,refined_100ps,100.00,2501,1251,0.054729,0.110472,0.019876,37,0.054775
375,refined_100ps,100.00,2501,1251,0.059269,0.110259,0.015302,35,-0.010497
400,refined_100ps,100.00,2501,1251,-0.088087,0.152330,0.032764,35,0.153941
450,coarse_60ps,60.00,1501,751,0.098627,0.122421,0.051643,25,0.028522
500,coarse_60ps,60.00,1501,751,-0.148234,0.223979,0.062593,23,0.207575
600,coarse_60ps,60.00,1501,751,-0.033493,0.099090,0.013423,34,-0.023842
